trees_total,trees_alive,trees_burning,trees_burned,bushes,chickens,water,empty
1601,1601,0,0,581,10,0,518
1607,1601,6,0,588,10,0,505
1624,1611,13,0,588,10,0,488
1639,1609,24,6,589,10,0,472
1646,1595,38,13,590,10,0,464
1657,1582,45,30,598,10,0,445
1669,1559,59,51,599,10,0,432
1676,1531,76,69,593,10,0,431
1678,1498,83,97,584,10,0,438
1668,1458,89,121,575,10,0,457
1661,1422,97,142,560,10,0,479
1649,1392,92,165,555,10,0,496
1627,1344,103,180,534,10,0,539
1598,1303,114,181,505,10,0,597
1575,1253,122,200,483,10,0,642
1546,1209,131,206,466,10,0,688
1516,1167,124,225,449,11,0,735
1494,1127,122,245,428,11,0,778
1450,1082,122,246,409,12,0,841
1425,1053,119,253,388,12,0,887
1381,1005,130,246,358,12,0,961
1354,979,134,241,336,12,0,1010
1320,947,121,252,321,12,0,1059
1290,913,124,253,301,12,0,1109
1266,878,137,251,285,12,0,1149
1243,859,126,258,267,12,0,1190
1201,844,99,258,236,12,0,1263
1177,839,88,250,224,13,0,1299
1163,835,92,236,206,13,0,1331
