trees_total,trees_alive,trees_burning,trees_burned,bushes,chickens,water,empty
1653,1653,0,0,511,10,0,536
1668,1665,3,0,511,10,0,521
1684,1676,8,0,513,10,0,503
1694,1676,15,3,515,10,0,491
1701,1667,26,8,516,10,0,483
1711,1638,55,18,517,10,0,472
1730,1608,88,34,519,10,0,451
1741,1585,86,70,514,10,0,445
1748,1562,72,114,509,10,0,443
1752,1555,56,141,506,10,0,442
1745,1531,54,160,499,10,0,456
1718,1509,67,142,478,10,0,504
1678,1485,67,126,456,10,0,566
1659,1479,57,123,444,10,0,597
1641,1475,45,121,436,10,0,623
1632,1460,48,124,423,10,0,645
1621,1452,57,112,409,10,0,670
1605,1439,61,105,401,10,0,694
1591,1437,52,102,392,10,0,717
1586,1431,46,109,384,10,0,730
1581,1405,67,109,379,10,0,740
1569,1381,81,107,379,10,0,752
1562,1350,93,119,374,10,0,764
1550,1324,99,127,367,10,0,783
1549,1312,77,160,359,10,0,792
1541,1305,56,180,353,10,0,806
