trees_total,trees_alive,trees_burning,trees_burned,bushes,chickens,water,empty
1629,1629,0,0,548,10,0,523
1646,1643,3,0,550,10,0,504
1658,1651,7,0,552,10,0,490
1675,1666,6,3,555,10,0,470
1689,1662,20,7,555,10,0,456
1705,1665,31,9,556,10,0,439
1719,1651,41,27,557,11,0,424
1732,1647,48,37,556,11,0,412
1744,1623,60,61,555,11,0,401
1753,1578,96,79,556,11,0,391
1743,1528,114,101,551,11,0,406
1743,1475,124,144,539,11,0,418
1728,1435,119,174,522,11,0,450
1725,1405,100,220,516,11,0,459
1696,1362,101,233,498,11,0,506
1655,1332,99,224,469,11,0,576
1615,1302,93,220,444,11,0,641
1565,1268,98,199,415,11,0,720
1524,1226,104,194,406,11,0,770
1498,1195,106,197,391,11,0,811
1459,1170,92,197,374,11,0,867
1438,1149,85,204,350,11,0,912
1407,1124,87,196,345,11,0,948
1378,1087,100,191,326,11,0,996
1360,1067,114,179,307,11,0,1033
1331,1048,98,185,297,11,0,1072
