trees_total,trees_alive,trees_burning,trees_burned,bushes,chickens,water,empty
1616,1616,0,0,535,10,0,549
1629,1628,1,0,537,10,0,534
1647,1640,7,0,539,10,0,514
1671,1656,14,1,543,10,0,486
1677,1646,24,7,546,10,0,477
1683,1639,29,15,549,10,0,468
1695,1645,19,31,551,10,0,454
1706,1640,23,43,555,10,0,439
1712,1628,41,43,548,10,0,440
1708,1606,50,52,541,10,0,451
1713,1601,52,60,537,10,0,450
1712,1591,48,73,526,10,0,462
1716,1577,46,93,524,10,0,460
1708,1549,61,98,520,10,0,472
1691,1533,60,98,512,10,0,497
1677,1512,56,109,506,10,0,517
1663,1493,64,106,503,10,0,534
1655,1483,55,117,497,10,0,548
1650,1478,48,124,491,10,0,559
1625,1450,64,111,483,10,0,592
1616,1423,81,112,481,10,0,603
1607,1391,97,119,459,10,0,634
1598,1358,111,129,448,10,0,654
1600,1330,109,161,448,10,0,652
1595,1305,98,192,441,10,0,664
1573,1291,76,206,427,10,0,700
1554,1276,69,209,412,10,0,734
1516,1259,72,185,392,10,0,792
